  AA MM DD HH      Hm0   Tm02   Tp   DirM      Hm0_V  DirM_V Hm0_F1 Tm02_F1 DirM_F1 Hm0_F2 Tm02_F2 DirM_F2   VelV   DirV
2016 01 04 03      2.4   5.3    7.5 261.0      2.2  258.0      0.7   12.5 282.0     -99.9  -99.9  -99.9      10.7  251.0
2016 01 04 04      2.5   5.4    7.5 261.0      2.3  258.0      0.8   12.5 283.0     -99.9  -99.9  -99.9      10.8  251.0
2016 01 04 05      2.5   5.4    7.5 261.0      2.3  259.0      0.8   12.5 283.0     -99.9  -99.9  -99.9      10.5  252.0
2016 01 04 06      2.5   5.4    7.6 261.0      2.4  260.0      0.6   13.4 285.0     -99.9  -99.9  -99.9       8.9  241.0
2016 01 04 07      2.4   5.5    7.8 261.0      2.3  259.0      0.7   13.5 285.0     -99.9  -99.9  -99.9      11.1  248.0
2016 01 04 08      2.5   5.4    7.7 261.0      2.4  258.0      0.7   13.6 286.0     -99.9  -99.9  -99.9      11.3  247.0
2016 01 04 09      2.5   5.4    7.6 260.0      2.5  260.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      11.2  245.0
2016 01 04 10      2.6   5.4    7.5 260.0      2.5  260.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      10.9  252.0
2016 01 04 11      2.6   5.4    7.4 261.0      2.5  259.0      0.5   15.0 291.0     -99.9  -99.9  -99.9      11.3  254.0
2016 01 04 12      2.7   5.5    7.5 262.0      2.6  260.0      0.6   15.0 291.0     -99.9  -99.9  -99.9       9.9  249.0
2016 01 04 13      2.6   5.6    7.7 262.0      2.5  260.0      0.7   14.1 290.0     -99.9  -99.9  -99.9      11.4  247.0
2016 01 04 14      2.7   5.6    7.7 262.0      2.5  259.0      0.7   14.1 290.0     -99.9  -99.9  -99.9      11.9  246.0
2016 01 04 15      2.7   5.5    7.7 261.0      2.6  259.0      0.7   14.1 290.0     -99.9  -99.9  -99.9      11.8  246.0
2016 01 04 16      2.8   5.6    7.7 261.0      2.7  259.0      0.7   14.1 290.0     -99.9  -99.9  -99.9      11.6  250.0
2016 01 04 17      2.8   5.6    7.8 261.0      2.7  259.0      0.7   14.0 289.0     -99.9  -99.9  -99.9      11.9  247.0
2016 01 04 18      2.9   5.7    8.0 261.0      2.8  259.0      0.7   14.0 289.0     -99.9  -99.9  -99.9      10.9  236.0
2016 01 04 19      2.9   5.8    8.2 261.0      2.8  259.0      0.7   13.9 289.0     -99.9  -99.9  -99.9      13.3  245.0
2016 01 04 20      3.0   5.8    8.2 260.0      2.9  258.0      0.6   14.5 288.0     -99.9  -99.9  -99.9      12.6  244.0
2016 01 04 21      3.0   5.8    8.3 260.0      3.0  258.0      0.6   14.5 287.0     -99.9  -99.9  -99.9      12.2  243.0
2016 01 04 22      3.1   5.8    8.3 259.0      3.1  259.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      12.8  240.0
2016 01 04 23      3.2   5.9    8.3 258.0      3.2  258.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      13.6  245.0
2016 01 05 00      3.3   6.0    8.4 258.0      3.3  258.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      13.3  239.0
2016 01 05 01      3.4   6.1    8.5 258.0      3.4  258.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      14.8  256.0
2016 01 05 02      3.5   6.2    8.6 260.0      3.5  260.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      10.5  290.0
2016 01 05 03      3.2   6.2    8.8 262.0    -99.9  -99.9      3.2    6.6 262.0     -99.9  -99.9  -99.9      12.0  331.0
2016 01 05 04      3.0   6.2    8.9 263.0    -99.9  -99.9      3.0    6.6 263.0     -99.9  -99.9  -99.9      12.9  333.0
2016 01 05 05      2.9   6.0    9.1 266.0      0.8  327.0      2.7    7.1 261.0     -99.9  -99.9  -99.9      13.3  333.0
2016 01 05 06      2.8   5.8    9.3 271.0      1.2  319.0      2.5    7.6 260.0     -99.9  -99.9  -99.9      11.7  331.0
2016 01 05 07      2.8   5.6    9.6 275.0      1.4  324.0      2.4    7.7 261.0     -99.9  -99.9  -99.9      12.0  339.0
2016 01 05 08      2.8   5.5   10.4 280.0      1.4  331.0      2.3    7.8 262.0     -99.9  -99.9  -99.9      10.7  333.0
2016 01 05 09      2.7   5.5   10.8 283.0      1.5  332.0      2.2    7.9 262.0     -99.9  -99.9  -99.9      10.4  329.0
2016 01 05 10      2.7   5.5   11.0 284.0      1.5  332.0      2.2    8.0 263.0     -99.9  -99.9  -99.9      10.0  326.0
2016 01 05 11      2.6   5.5   11.1 283.0      1.3  339.0      2.2    7.6 266.0     -99.9  -99.9  -99.9       8.6  318.0
2016 01 05 12      2.5   5.7   11.1 279.0      1.1  343.0      2.2    7.3 267.0     -99.9  -99.9  -99.9       8.2  308.0
2016 01 05 13      2.4   5.8   11.1 277.0    -99.9  -99.9      2.2    6.8 271.0       0.7    4.0  360.0       8.1  288.0
2016 01 05 14      2.3   5.8   11.0 274.0      2.2  271.0      0.6    4.0 358.0     -99.9  -99.9  -99.9       9.1  279.0
2016 01 05 15      2.3   5.8   11.0 274.0      2.3  274.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      10.8  289.0
2016 01 05 16      2.4   5.6   10.9 275.0      2.4  275.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      12.7  290.0
2016 01 05 17      2.7   5.5   10.9 277.0      2.6  277.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      11.8  305.0
2016 01 05 18      2.7   5.5    7.6 279.0      2.7  279.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      12.8  304.0
2016 01 05 19      2.8   5.5    7.6 282.0      2.8  282.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      13.0  309.0
2016 01 05 20      2.9   5.5    7.6 284.0      2.8  284.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9      12.3  311.0
2016 01 05 21      2.8   5.5    7.7 286.0      2.4  289.0      1.4   10.5 276.0     -99.9  -99.9  -99.9      11.4  318.0
2016 01 05 22      2.8   5.5    7.9 287.0      2.3  291.0      1.4   10.5 277.0     -99.9  -99.9  -99.9      10.1  320.0
2016 01 05 23      2.6   5.5    8.3 287.0      2.2  292.0      1.4   10.6 277.0     -99.9  -99.9  -99.9       9.3  315.0
2016 01 06 00      2.5   5.5   10.7 286.0      2.4  286.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9       8.1  303.0
2016 01 06 01      2.3   5.6   10.8 285.0      2.3  285.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9       8.0  297.0
2016 01 06 02      2.2   5.6   10.9 283.0      2.1  280.0      0.4    3.7   6.0     -99.9  -99.9  -99.9       7.9  296.0
2016 01 06 03      2.1   5.6   10.9 282.0      2.0  282.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9       8.0  294.0
2016 01 06 04      2.0   5.6   11.0 281.0    -99.9  -99.9      2.0    6.2 281.0     -99.9  -99.9  -99.9       7.5  299.0
2016 01 06 05      1.9   5.5   11.0 280.0    -99.9  -99.9      1.9    6.2 280.0     -99.9  -99.9  -99.9       7.2  300.0
2016 01 06 06      1.8   5.6   11.1 279.0    -99.9  -99.9      1.8    6.3 279.0     -99.9  -99.9  -99.9       4.6  308.0
2016 01 06 07      1.8   5.8   11.1 279.0    -99.9  -99.9      1.7    6.4 279.0     -99.9  -99.9  -99.9       3.2  298.0
2016 01 06 08      1.7   6.0   11.1 278.0    -99.9  -99.9      1.7    6.7 278.0     -99.9  -99.9  -99.9       3.0  289.0
2016 01 06 09      1.6   6.3   11.2 277.0    -99.9  -99.9      1.6    6.9 277.0     -99.9  -99.9  -99.9       2.7  285.0
2016 01 06 10      1.6   6.5   11.2 277.0    -99.9  -99.9      1.6    7.0 277.0     -99.9  -99.9  -99.9       4.0  275.0
2016 01 06 11      1.5   6.6   11.2 277.0    -99.9  -99.9      1.5    7.2 277.0     -99.9  -99.9  -99.9       4.6  282.0
2016 01 06 12      1.5   6.5   11.2 276.0    -99.9  -99.9      1.5    7.2 276.0     -99.9  -99.9  -99.9       4.1  245.0
2016 01 06 13      1.5   6.5   11.2 276.0    -99.9  -99.9      1.5    7.2 276.0     -99.9  -99.9  -99.9       5.6  236.0
2016 01 06 14      1.5   6.2   11.2 276.0    -99.9  -99.9      1.5    7.0 276.0     -99.9  -99.9  -99.9       6.2  243.0
2016 01 06 15      1.5   5.9   11.2 275.0    -99.9  -99.9      1.5    6.8 275.0     -99.9  -99.9  -99.9       7.3  251.0
2016 01 06 16      1.5   5.5   11.2 274.0      1.5  274.0    -99.9  -99.9 -99.9     -99.9  -99.9  -99.9       8.4  261.0
2016 01 06 17      1.6   5.1   11.2 273.0      0.9  261.0      1.4    8.7 277.0     -99.9  -99.9  -99.9       7.9  257.0
2016 01 06 18      1.7   5.0   11.2 273.0      1.0  263.0      1.3    9.1 278.0     -99.9  -99.9  -99.9       5.6  249.0
2016 01 06 19      1.6   5.1   11.2 273.0      1.0  266.0      1.3    9.3 278.0     -99.9  -99.9  -99.9       7.6  256.0
2016 01 06 20      1.7   5.0   11.2 274.0      1.1  267.0      1.2    9.8 278.0     -99.9  -99.9  -99.9       7.9  257.0
2016 01 06 21      1.7   4.9   11.2 274.0      1.1  268.0      1.2    9.7 278.0     -99.9  -99.9  -99.9       7.5  260.0
2016 01 06 22      1.7   4.9   11.2 274.0      1.2  269.0      1.2    9.7 278.0     -99.9  -99.9  -99.9       7.5  258.0
2016 01 06 23      1.7   4.9   11.2 274.0      1.2  270.0      1.1    9.8 278.0     -99.9  -99.9  -99.9       7.3  258.0
2016 01 07 00      1.6   4.9   11.2 274.0      1.2  271.0      1.1    9.7 278.0     -99.9  -99.9  -99.9       5.6  249.0
2016 01 07 01      1.6   5.1   11.2 275.0      1.2  271.0      1.1   10.1 279.0     -99.9  -99.9  -99.9       7.1  264.0
2016 01 07 02      1.6   5.1   11.1 275.0      1.1  271.0      1.1   10.1 279.0     -99.9  -99.9  -99.9       6.7  262.0
2016 01 07 03      1.6   5.1   11.1 275.0    -99.9  -99.9      1.1    4.6 272.0       1.0   10.0  279.0       5.8  251.0
2016 01 07 04      1.5   5.2   11.1 275.0    -99.9  -99.9      1.1    4.6 272.0       1.0   10.0  279.0       5.6  240.0
2016 01 07 05      1.5   5.2   11.1 275.0    -99.9  -99.9      1.1    4.6 272.0       1.0    9.9  279.0       5.8  238.0
2016 01 07 06      1.5   5.2   11.0 275.0    -99.9  -99.9      1.0    9.9 279.0       1.0    4.6  271.0       5.6  224.0
2016 01 07 07      1.5   5.2   11.0 275.0    -99.9  -99.9      1.0    9.9 279.0       1.0    4.5  270.0       7.2  231.0
2016 01 07 08      1.5   5.1   11.0 274.0    -99.9  -99.9      1.5    5.8 274.0     -99.9  -99.9  -99.9       7.3  238.0
2016 01 07 09      1.5   5.0   11.0 273.0    -99.9  -99.9      1.5    5.7 273.0     -99.9  -99.9  -99.9       7.0  246.0
2016 01 07 10      1.5   5.0   11.0 273.0    -99.9  -99.9      1.5    5.7 273.0     -99.9  -99.9  -99.9       6.6  253.0
